éreneur,méreneur,enfineur,menfineur,amivante,mamivante,étinir,métinir,envitique,menvitique,érimique,mérimique,arrazole,marrazole,ambourise,mambourise,arolame,marolame,afumore,mafumore,onatime,monatime,émanfone,mémanfone,onandeur,monandeur,antinir,méreneur,ondiloche,mondiloche,derranant,mderranant,manuri,mmanuri,sapavan,msapavan,ronvouli,mronvouli,corga,mcorga,laritan,mlaritan,bomafi,mbomafi,tinolant,mtinolant,lavoude,mlavoude,cupérain,mcup,mansicou,mmansicou,lirone,mlirone,bouvapet,mbouvapet,lumolant,mlumolant,dulicon,mdulicon,ménétive,mménétive,chelronne,mchelronne,sineronde,msineronde,rolarame,mrolarame,déreneur,mdéreneur,dellerette,mdellerette,masselire,mmasselire,sulitive,msulitive,lénatine,mlénati,manairette,mmanairette,détinage,mdétinage,décenar,mdéc,délarance,mdélarance,érinance,mérinance,densinage,mdensinage,derranant,sapavan,manuri,ronvouli,corga,laritan,bomafi,tinolant,mansicou,lirone,cupérain,lavoude,bouvapet,lumolant,dulicon,éreneur,enfineur,amivante,étinir,envitique,érimique,arrazole,ambourise,arolame,afumore,onatime,émanfone,onandeur,antinir,ondiloche,ménétive,chelronne,sineronde,rolarame,déreneur,dellerette,masselire,sulitive,lénatine,manairette,détinage,décenar,délarance,érinance,densinage
4,égrener,5,enfiler,5,amiante,3,étreindre,3,lévitique,4,érétique,4,parasol,5,ambroise,4,alarme,4,fumoir,4,mâtine,5,métadonne,5,pourfandeur,3,renchérir,2,filoche,3,dorénavant,4,canari,3,cardigan,2,bernouilli,2,morda,3,palpitant,2,gorafi,5,rigolant,4,consoude,4,purin,4,massicot,3,lionne,2,budapest,2,rutilant,2,dupliquons,3,émotive,3,chevronné,3,seconde,2,rotterdam,3,égreneur,3,colerette,4,tirelire,3,salive,5,hématite,3,maniéré,4,crétinage,3,décelat,5,déclarant,4,héritance,3,voisinage,img5,img9,img6,img8,img3,img0,img3,img8,img5,img6,img1,img2,img4,img0,img5,img2,img8,img7,img10,img0,img4,img3,img1,img5,img9,img3,img9,img3,img6,img10,img0,img4,img2,img7,img5,img1,img10,img0,img6,img2,img8,img11,img1,img6,img4
3,egraineur,4,enfileur,2,,4,etamer,3,anxiolitique,1,,1,,1,,3,aromate,3,affabuler,1,,4,dictaphone,4,orpailleur,2,,2,,4,Démarrant,1,,2,,2,,3,corgi,3,samaritain,1,,2,,1,,3,,1,,1,,2,budapest,4,luminescent,5,ducon,4,,1,,2,,1,,2,,3,,2,,2,,3,,3,,4,,4,deceler,3,declarer,3,,3,,,img5,,img2,img6,img3,,img8,,img9,img0,img4,,,,img1,,img6,img4,img10,img11,,,img1,img5,,img8,,,img0,,,img4,img5,img2,,img7,img9,img1,img9,img10,,,,
4,éboueur,5,,4,,3,,4,,3,,1,,3,,3,,3,,1,,3,,4,,4,,3,,4,détartrant,2,manufacture,2,,2,,1,,2,,2,,4,,2,,4,,2,,3,,3,,4,,2,,3,,2,,2,,2,rolala,4,,4,,3,,3,,4,,3,,4,patinage,2,,4,,3,,3,,img2,img3,img4,img9,img6,img1,img2,img9,img0,img3,img5,img1,img7,img9,img4,,img1,img3,img5,img1,img1,img0,img4,img2,img3,img5,img7,img9,img1,img2,img3,img6,img4,img1,img2,img3,img6,img2,img3,img0,img8,img4,img0,img3,img2
4,édriseur,4,enfumeur,2,amiante,3,étain,3,envier,1,rime,1,gazole,5,ambe,1,un pokemon,1,fumée,1,intime,4,émanciper,3,onanisme,2,anéantir,2,filoche,3,derangeant,1,manure,2,caravan,2,rond ,3,coriandre,3,parmesan,1,bouffi,4,picolant,5,lavande,3,cupide,2,manitou,4,lionne / licorne,3,clapet,4,luminol,2,helicon,3,minutie,3,daronne,3,sinueux ,2,rame,5,dépeceur (dsl je suis un peu psychopathe sur les bords),4,paquerette,3,tirelire,5,salive,4,créatine,3,vinaigrette,4,rétine,2,décénie,3,délivrance,4,délivrance,3,usinage,img7,img11,img0,img3,img9,img5,img1,img8,img5,img2,img6,img2,img3,img1,img0,img9,img0,img7,img2,img10,img6,img3,img1,img9,img10,img6,img0,img6,img2,img8,img9,img3,img4,img4,img0,img9,img10,img1,img1,img5,img2,img7,img6,img6,img2
1,égrener,5,empailleur,5,ambivalent,3,éteindre,5,lévitique,1,céramique,1,,5,framboise,1,,1,afluence,1,,1,,,,3,,5,ondulant,4,déraillant,1,manuel,1,,1,,1,,4,,1,,2,tintinabule,3,lavoir,5,chérubin,1,,1,,5,,3,,5,,5,,1,,3,,1,,1,,5,colerette,1,masselotte,4,saliver,3,gélatine,,marionette,,détoner,,espagnol,,délirer,,éreinter,5,voisinage,img2,img7,img6,img4,img11,img6,img0,img5,img3,img9,img5,img1,img10,img0,img8,img10,img0,img3,img5,img8,img9,img1,img1,img5,img7,img11,img6,img0,img2,img8,img2,img6,img10,img1,img4,img7,img3,img5,img2,img7,img0,img9,img8,img2,img11
2,Erreur,5,affiner,2,amiante,3,éteindre,2,envi,3,,4,,5,embourber,3,,3,fumoire,2,,2,,3,,2,,3,,4,dérapant,2,main,2,savan,2,ravioli,3,,3,,2,,5,,3,lavande,5,cupidon,2,,4,licorne,4,,4,lumière,2,con,4,menestrel,3,,4,,2,raler,2,,3,colerette,2,tirelire,3,,4,mélanine,4,clairette,5,patinage,2,espagnol,5,déclarer,4,uriner,4,jardinage,img2,img9,img10,img0,img4,img8,img9,img6,img3,img11,img6,img3,img1,img5,img0,img10,img9,img3,img0,img3,img6,img1,img2,img7,img4,img2,img5,img8,img9,img11,img2,img10,img4,img4,img2,img1,img10,img9,img8,img7,img0,img1,img5,img7,img4
4,Ereinter,5,Enfileur,4,Enivrante,3,Eteindre,3,Hérétique,3,,4,Parasol,4,Ambroise,2,,2,fumoir,1,,1,,3,Demandeur,2,,3,,4,Démarrant,4,Manuel,2,,2,,4,cobra,1,,2,,4,,4,Lavande,4,,3,,4,Licorne,3,Budapest,4,Larmoyant,1,,4,,2,,3,ronde,1,,4,,1,,4,Mousseline,3,,2,,2,manette,4,Patinage,3,Sonar,4,Décadence,4,,4,Jardinage,img9,img5,img3,img0,img8,img6,img11,img9,img0,img9,img6,img3,img10,img9,img3,img1,img5,img7,img11,img1,img3,img4,img6,img0,img9,img7,img0,img0,img6,img3,img8,img0,img6,img0,,img2,img5,img7,img2,img3,img8,img10,img1,img6,img11
4,égraineur,5,enfileur,5,âme vivante,4,étirer / défnir,4,envie,4,,2,aérosol,5,tambouriner,2,alarme,1,fumeur,1,,3,téléphone,,,5,anéantir,3,loche,2,décapant,1,Maori,1,savon,2,convoluer,3,colza,1,,1,,4,sanguinolant,2,lavande,5,Couperin,3,,5,licorne / lionne,5,bouvier,5,lumineux,5,hélicon,5,directive,1,,5,sinusoïde ,3,rame,5,égraineur,5,colerette,5, tirelire,4,suggestive,4,kératine,5,aigrette ,4,tartinage,3,déceler,5,délabrer,4,errance,5,usinage,img0,img3,img5,img8,img9,img10,img3,img0,img6,img6,img1,img3,img4,img11,img8,img10,img8,img3,img5,img6,img3,img1,img1,img1,img11,img5,img6,img0,img8,img4,img1,img10,img5,img7,img2,img6,img7,img1,img3,img3,img11,img1,img0,img0,img2
2,égreneur,3,affinage,2,ambivalante,1,détenir,1,diététique,2,amérique,2,perroquet,2,bois,1,arome,1,fumoir,1,onanisme,1,érotisme,2,demandeur,2,sentir,2,onde,2,derrière,1,manoir,1,savon,1,ravioli,1,corde,1,irritant,1,baume,2,immoler,1,lavande,3,souverain,1,mansarde,2,licorne,2,parapet,2,lumineux,2,rivière,4,médiéval,1,charogne,3,blonde,1,roller,1,repreneur,3,délire,3,tirelire,4,salive,4,hématome,2,manière,5,patinage,1,traquenard,3,délinquance,2,étincelant,4,danser,img2,img0,img3,img4,img6,img2,img9,img8,img3,img6,img10,img3,img0,img9,img0,img8,img0,img3,img7,img6,img8,img2,img1,img11,img7,img3,img0,img0,img4,img8,img6,img2,img3,img2,img9,img5,img10,img0,img0,img3,img2,img10,img3,img2,img5
,éronné,1,Enfileur ,1,Amiante,2,tenir,1,Envie,1,Rythmique,2,,2,,1,Moteur,1,Enfumage,1,Onanime ,1,Aphone ,2,,2,,2,,,,2,,2,,2,,2,,2,,2,,1,Tinter ,1,Voute,1,Cupide ,2,,1,Lyre,2,,1,Trainant,2,,,,2,,1,Ronde,1,Tourner ,1,Cavalier,1,Colerette ,1,Tirelire,1,Intuitive ,1,Amphétamines ,1,Pompette ,1,Deteindre ,2,sonar,2,clarance,1,Errer ,1,Densifier,img6,img2,img0,img1,img3,img4,img6,img0,img6,img2,,img1,img2,,img2,img6,img0,img3,img6,img1,img11,img0,img2,,img2,img3,img2,img5,img3,img5,img6,img3,img7,img3,img5,img6,img8,img4,img3,,img4,,img5,,img2
3,égrainer,2,enfiler,3,enivrante,4,éteindre,4,envieux,3,hérétique,2,arranger,4,ambroise,3,enrouler,3,enfumer,1,onirique,2,téléphone,3,demandeur,3,mentir,2,effiloche,1,derraté,3,manuel,3,savonnant,3,ravioli,2,cohorte,3,l'air,3,boum,2,scintillant,4,lavoir,4,cupide,1,manger,4,licorne,3,bougre,2,lumineux,2,dur,3,médir,4,chevronné,3,sir,2,roulera,3,dérrière,3,colerette,2,messire,2,salive,2,literie,3,manière,2,patinage,3,déceler,3,déclarant,3,érudit,4,densité,img2,img8,img3,img4,img9,img9,img1,img2,img11,img11,img6,img2,img10,img6,img0,img0,img6,img3,img1,img1,img1,img11,img8,img0,img6,img4,img7,img0,img9,img10,img6,img11,img0,img2,img1,img5,img7,img8,img10,img3,img4,img1,img5,img9,img10
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,flagrance,1,,1,,img8,img11,,img9,img3,img2,,,img1,img4,img10,img9,img0,img6,img3,img0,img8,img3,img2,img4,img6,img1,,img5,img9,,img7,img10,,img11,img5,img9,img4,img3,img0,img7,img1,,,img2,img8,,img6,img11,img10
1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,aucun,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,img8,img11,,img9,img3,img2,,,img1,img4,img10,img9,img0,img6,img3,img0,img8,img3,img2,img4,img6,img1,,img5,img9,,img7,img10,,img11,img5,img9,img4,img3,img0,img7,img1,,,img2,img8,,img6,img11,img10
2,renard,3,affineur,5,émouvante,4,éteindre,2,envieux,2,rime,1,,1,framboise,2,,5,fumer,1,,1,,4,demandeur,5,,3,onduler,1,,1,manutention,1,,3,roue,5,gorge,3,,3,,3,,5,lavande,3,cupide,1,outil,1,licorne,3,Budapest,5,lumineux,3,doux,3,chétive,1,,5,rodeur,3,roulant,1,coureur à pied,3,réglette,5,massive,1,,5,médicament,5,main,3,adolescent,5,décennal,4,délabrement,4,errance,5,densité,img8,img2,img7,img1,img0,img6,img5,img8,img2,img3,img2,img3,img1,img6,img8,img0,img6,img0,img1,img5,img3,img8,img4,img2,img2,img6,img3,img0,img6,img8,img7,img3,img4,img4,img0,img5,img4,img2,img3,img7,img6,img1,img0,img8,img5
5,Erreur,5,Renifleur,2,Ambivalent,4,Etreindre,4,Ethique,5,Empirique,1,Parasol,3,Ambroise,1,Alarme,1,Fumee,1,Time,5,téléphone,4,Odeur,3,Finir,4,Cloche,3,Dorenavant,1,Manuel,3,Saponine,4,Patchouli ,2,Corps,1,Latant,2,Baune,4,Somnolent ,3,Lavande,5,Burin,1,,3,Liane ,3,Budapest,4,Luminescent ,3,Lycaon,5,Minutieux,3,Chrome,4,sinéquanone,3,Drole,5,Detenteur,4,colerette,3,Massue,4,Récidive,5,Méthionine,4,Marionette ,5,Patinage,5,déceler,5,Déclaration,,Périné,5,Ponçage,img3,img2,img4,img3,img7,img5,img9,img0,img1,img6,img8,img10,img3,img9,img7,img1,img3,img4,img0,img10,img8,img5,img11,img9,img9,img11,img6,img7,img2,img8,img0,img5,img4,img8,img2,img6,img10,img8,img0,img6,img2,img5,img11,img10,img11
3,,4,,3,,4,,3,,4,,2,,4,,3,,4,,2,,4,,4,,3,,2,,2,,2,,3,,3,,2,,3,,3,,4,,3,,3,,3,,2,,3,,4,,4,,4,,3,,3,,3,,,,4,,4,,3,,4,,3,,3,,4,,4,,4,,2,,img3,img1,img2,img4,img6,img0,img9,img8,,img10,img5,img7,img11,,,img7,img1,img4,img6,img2,img0,img7,,img3,img9,,img8,img11,,img10,img8,img5,img1,img3,img0,img6,img2,img7,img9,img11,,img10,img4,,
4,,4,finisseur,4,motivante,4,etirer,4,desirable,4,,3,niveau,3,confuse,3,auréole,3,en-fumeur,3,intemporel,3,privé,4,quêteur,4,précéder,4,onduler,4,dorénavant,4,dé-nourri,,nègligeable,,bouffi,,braillard,,gitan,,cagole,,bruyant,,délavée,,pénible,,massicot,,liseuse,,puant,,somnolant,,ducon,4,lassante,3,redondante,5,arrondie,4,jouet,4,contradicteur,5,négligeable,4,encyclopédie,5,salivante,5,suc,5,vinaigrette,4,taille,3,sonnard,4,délire,5,balade,4,alourdie,img2,img8,img0,img1,img3,img4,img7,img4,img2,img6,img7,img3,img1,img5,img0,img2,img8,img3,img5,img4,img4,img6,img3,img5,img4,img2,,img2,img1,img3,img3,img6,img1,img3,img2,img4,img5,img8,img7,img7,img5,img1,img3,img4,img1
3,Erreur,5,Affineur,3,Amiante,2,tenir,4,Elliptique,2,hérétique,2,Parasol,2,Amboise,1,arome,1,fumeur,2,sonatine,2,aphone,3,demandeur,1,finir,1,onduler,4,délirant,1,curri,1,savon,1,ravioli,1,cora,2,occitan,1,biafine,2,lancinant,2,les goudes,3,chatelain,1,mangouste,1,lionne,3,chapelet,3,rayonnant,1,rubicon,4,maladive,2,charonne,3,sinéquanone,1,molard,3,dévisseur,4,colerette,2,tirelire,4,solutive,4,vitamine,4,vinaigrette,5,détartrage,1,décénnie,5,désherance,3,imminence,4,copinage,img2,img0,img3,img9,img6,img1,img4,img8,img9,img6,img11,,img7,img3,img9,img2,img6,img4,img3,img5,img8,img11,img1,img9,img7,img5,img1,img0,img3,img6,,img10,img6,img2,img11,img0,img10,img6,img1,img3,img11,img0,img6,img8,img0
3,égrainer,4,enfileur,2,amitié,3,étayer,3,envieux,2,éructer,2,gazole,3,framboise,1,lame,1,fumoir,1,onanisme,1,,2,onde,2,antiquité,2,Antioche,2,derrière,1,main,2,savant,2,ravioli,2,cargo,3,latrine,1,Fibonacci,2,Indolent,2,lavande,3,coulpe,2,Moscou,3,licorne,2,bouvier,3,luminescent,2,doliprane,2,plante,2,chevronné,,danse,1,roller,3,déménageur,3,colerette,2,masseur,2,stévia,3,ritaline,3,soubrette,3,patinage,1,décénnie,3,délivrance,3,errance,2,densité,img1,img6,img3,img4,img11,img2,img5,,img7,img8,,,img10,img0,img9,img1,img0,img11,,img3,,img9,img1,img11,img7,img10,img4,img6,img2,img6,img9,img0,img4,img11,img2,img3,img2,img6,img5,img4,img10,,img7,img1,img8
3,preneur ,3,enfileur,2,amiante,3,tenir,2,empirique,2,hérétique,2,parasol,2,amoureuse,2,prazolam,1,fumoir,1,onirique,1,aphone,1,commandeur,2,détenir,1,bouloche,1,déroutant,1,manuscript,1,sapin,1,ravioli,1,cobra,1,arrivant,1,mafia,2,titubant,1,lavande,2,cupidon,1,manitou,1,licorne,1,toupet,2,imolant,1,duplicat,1,directive,2,chaperonne,1,sirène,2,raler,2,dérisoire,1,colerette,2,tirelire,2,surcis,2,clémantine,1,manière,2,patinage,1,traquenard ,2,délivrance,2,ériger,1,patinage,img5,img3,img10,img0,img6,img2,img9,img9,img7,img6,img4,img3,img2,img9,img11,img0,img7,img4,img10,img8,img1,img5,img7,img11,img9,img10,img1,img2,img5,img8,img0,img6,img1,img5,img4,img9,img10,img5,img7,img9,img4,img3,img4,img7,img0
2,preneur,2,enfileur,5,amiante,4,détenir,4,,5,hérésie ,5,oxazole,5,tambourin,1,vibrolame,2,oxymore,1,on a time,4,sémaphore,2,odeur,3,cantiner ,1,pondichery,1,déracinant,1,manucure,4,paravent,1,renvoyer,2,cortex,1,gitan,1,baume,4,tivolet,2,lavande,1,riverain,1,sémantique,4,lyrer,2,chevet,3,luminaire,2,tulipe,4,ménestrel ,3,chevrotine ,4,synergie,,,2,déteneur ,3,Colerette ,1,tirelire,4,punitive,5,gélatine,4,manette,4,patinage,3,déceler,2,fragrance,4,fragrance,3,jardinage,img11,img10,img9,img1,img0,img6,img8,img6,img3,img4,img7,img3,img5,img3,img9,img10,img9,img7,img1,img6,img8,img1,img5,img9,img8,img0,img4,img5,img1,img3,img1,img7,img3,img8,img11,img3,img6,img1,img3,img5,img11,img2,img0,img0,img7
2,étrennes,3,Raffineur,4,Amovible,2,Tenir,,Atavique,2,,4,Aérien,4,Ambroisie,2,,2,Ignifuge,2,,2,,4,,2,,3,,4,,2,,2,,3,,2,,4,,2,,4,Tintinabuler,3,Lavandin,4,,2,,3,Salicorne,4,Bouvier,4,,2,,4,,2,,2,,2,,4,,2,,3,,4,Salive,2,,4,,4,,4,,2,Rance,4,,4,Usinage,img0,,,img2,,,img8,,,img3,,,img2,img6,img9,,,,,,,img1,,img11,,,,,,img5,,img0,,img11,,,img7,,,img3,,img2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img4,img4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img7,img7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img10,img10,img10,img10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img1,img1,img1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img0,img0,img0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img2,img2,img2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,img3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
