id,jour,ordre histoires,ordre conditions,histoire,condition,type,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
2,2,s 3012,c 2130,0,1,vehicule,Sonistik,Sonistik,True,Sunistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143,Sonistik,z_o_n_i_s_t_i_k,0.7142857142857143
2,2,s 3012,c 2130,0,1,maison,Lasgelich,Keimase,False,,,k_aI_m_a_s_@,10,,,10
2,2,s 3012,c 2130,1,3,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
2,2,s 3012,c 2130,0,1,personnage,Mielbete,Mielbete,True,Melare,m_e_l_a_r_@,m_i_l_b_e_t_@,4.2857142857142865,Melare,m_e_l_a_r_@,0.0
2,2,s 3012,c 2130,3,2,maison,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
2,2,s 3012,c 2130,1,3,vehicule,Mattendich,Mattendich,True,Machende,m_a_x_@_n_d_@,m_a_t_@_n_d_i_C,2.857142857142857,Mattendich,m_a_t_@_n_d_i_C,2.857142857142857
2,2,s 3012,c 2130,2,0,maison,Madikten,Madikten,True,Medikte,m_e_d_i_k_t_@,m_a_d_i_k_t_@,1.142857142857143,Madikten,m_a_d_i_k_t_@,1.142857142857143
2,2,s 3012,c 2130,1,3,personnage,Tereinat,Tereinat,True,Trentete,t_r_@_n_t_e_t_@,t_e_r_aI_n_a_t,5.2857142857142865,Soltete,z_o_l_t_e_t_@,4.000000000000001
2,2,s 3012,c 2130,3,2,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
2,2,s 3012,c 2130,2,0,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
2,2,s 3012,c 2130,2,0,vehicule,Wecktellin,Wecktellin,True,Vektrene,v_@_k_t_r_e_n_@,v_@_k_t_e_l_i_n,3.428571428571429,Wecktellin,v_@_k_t_e_l_i_n,3.428571428571429
2,2,s 3012,c 2130,3,2,personnage,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
1,2,s 1302,c 3012,0,1,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
1,2,s 1302,c 3012,0,1,maison,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
1,2,s 1302,c 3012,1,3,maison,Tereinat,Ligete,False,Legete,l_e_g_e_t_@,l_i_g_e_t_@,0.7142857142857143,Ligete,l_i_g_e_t_@,0.7142857142857143
1,2,s 1302,c 3012,0,1,personnage,Mattendich,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
1,2,s 1302,c 3012,3,0,maison,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
1,2,s 1302,c 3012,1,3,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
1,2,s 1302,c 3012,2,2,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
1,2,s 1302,c 3012,1,3,personnage,Zulergen,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
1,2,s 1302,c 3012,3,0,vehicule,Melare,Melare,True,Melare,m_e_l_a_r_@,m_e_l_a_r_@,0.0,Melare,m_e_l_a_r_@,0.0
1,2,s 1302,c 3012,2,2,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
1,2,s 1302,c 3012,2,2,vehicule,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10,,,10
1,2,s 1302,c 3012,3,0,personnage,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10,,,10
3,2,s 0321,c 0312,0,0,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
3,2,s 0321,c 0312,0,0,maison,Mielbete,Keimase,False,,,k_aI_m_a_s_@,10,,,10
3,2,s 0321,c 0312,1,2,maison,Keimase,Ligete,False,,,l_i_g_e_t_@,10,,,10
3,2,s 0321,c 0312,0,0,personnage,Soltete,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
3,2,s 0321,c 0312,3,3,maison,Wecktellin,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
3,2,s 0321,c 0312,1,2,vehicule,Madikten,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
3,2,s 0321,c 0312,2,1,maison,Tereinat,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
3,2,s 0321,c 0312,1,2,personnage,Ligete,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
3,2,s 0321,c 0312,3,3,vehicule,Mattendich,Melare,False,,,m_e_l_a_r_@,10,,,10
3,2,s 0321,c 0312,2,1,personnage,Lasgelich,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
3,2,s 0321,c 0312,2,1,vehicule,Zulergen,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
3,2,s 0321,c 0312,3,3,personnage,Melare,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
4,2,s 0231,c 0132,0,0,vehicule,Sonistik,Sonistik,True,melare,m_e_l_a_r_@,z_o_n_i_s_t_i_k,8.285714285714286,Melare,m_e_l_a_r_@,0.0
4,2,s 0231,c 0132,0,0,maison,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
4,2,s 0231,c 0132,1,2,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
4,2,s 0231,c 0132,0,0,personnage,-1,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
4,2,s 0231,c 0132,3,3,maison,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
4,2,s 0231,c 0132,1,2,vehicule,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
4,2,s 0231,c 0132,2,1,maison,Keimase,Madikten,False,...dick...,d_i_k,m_a_d_i_k_t_@,4.0,Madikten,m_a_d_i_k_t_@,4.0
4,2,s 0231,c 0132,1,2,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
4,2,s 0231,c 0132,3,3,vehicule,Sonistik,Melare,False,,,m_e_l_a_r_@,10,,,10
4,2,s 0231,c 0132,2,1,personnage,Zulergen,Soltete,False,soltete,z_o_l_t_e_t_@,z_o_l_t_e_t_@,0.0,Soltete,z_o_l_t_e_t_@,0.0
4,2,s 0231,c 0132,2,1,vehicule,Wecktellin,Wecktellin,True,vekti...,v_@_k_t_i,v_@_k_t_e_l_i_n,3.0,Wecktellin,v_@_k_t_e_l_i_n,3.0
4,2,s 0231,c 0132,3,3,personnage,Lasgelich,Lasgelich,True,terrainaud,t_e_r_aI_n_aU_d,l_a_s_g_e_l_i_C,9.0,Tereinat,t_e_r_aI_n_a_t,0.7142857142857143
5,2,s 2310,c 3102,0,2,vehicule,Wecktellin,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
5,2,s 2310,c 3102,0,2,maison,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
5,2,s 2310,c 3102,1,0,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
5,2,s 2310,c 3102,0,2,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
5,2,s 2310,c 3102,3,1,maison,-1,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
5,2,s 2310,c 3102,1,0,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
5,2,s 2310,c 3102,2,3,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
5,2,s 2310,c 3102,1,0,personnage,Tereinat,Tereinat,True,terrainard,t_e_r_aI_n_a_r_d,t_e_r_aI_n_a_t,1.7142857142857144,Tereinat,t_e_r_aI_n_a_t,1.7142857142857144
5,2,s 2310,c 3102,3,1,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
5,2,s 2310,c 3102,2,3,personnage,Lasgelich,Soltete,False,vektelin,v_@_k_t_e_l_i_n,z_o_l_t_e_t_@,6.142857142857143,Wecktellin,v_@_k_t_e_l_i_n,0.0
5,2,s 2310,c 3102,2,3,vehicule,Soltete,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
5,2,s 2310,c 3102,3,1,personnage,Zulergen,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
1,3,s 1302,c 3012,0,1,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
1,3,s 1302,c 3012,0,1,maison,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10,,,10
1,3,s 1302,c 3012,1,3,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
1,3,s 1302,c 3012,0,1,personnage,Soltete,Mielbete,False,Tereinat,t_e_r_aI_n_a_t,m_i_l_b_e_t_@,7.857142857142858,Tereinat,t_e_r_aI_n_a_t,0.0
1,3,s 1302,c 3012,3,0,maison,Wecktellin,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
1,3,s 1302,c 3012,1,3,vehicule,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
1,3,s 1302,c 3012,2,2,maison,Madikten,Madikten,True,Madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0,Madikten,m_a_d_i_k_t_@,0.0
1,3,s 1302,c 3012,1,3,personnage,Mielbete,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
1,3,s 1302,c 3012,3,0,vehicule,Zulergen,Melare,False,Melare,m_e_l_a_r_@,m_e_l_a_r_@,0.0,Melare,m_e_l_a_r_@,0.0
1,3,s 1302,c 3012,2,2,personnage,Keimase,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
1,3,s 1302,c 3012,2,2,vehicule,Tereinat,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
1,3,s 1302,c 3012,3,0,personnage,Mattendich,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
6,2,s 3021,c 2103,0,1,vehicule,Lasgelich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
6,2,s 3021,c 2103,0,1,maison,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
6,2,s 3021,c 2103,1,3,maison,Zulergen,Ligete,False,,,l_i_g_e_t_@,10,,,10
6,2,s 3021,c 2103,0,1,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
6,2,s 3021,c 2103,3,2,maison,Sonistik,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
6,2,s 3021,c 2103,1,3,vehicule,Keimase,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
6,2,s 3021,c 2103,2,0,maison,-1,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
6,2,s 3021,c 2103,1,3,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
6,2,s 3021,c 2103,3,2,vehicule,Ligete,Melare,False,,,m_e_l_a_r_@,10,,,10
6,2,s 3021,c 2103,2,0,personnage,Mattendich,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
6,2,s 3021,c 2103,2,0,vehicule,Wecktellin,Wecktellin,True,vektorine,v_@_k_t_o_r_i_n_@,v_@_k_t_e_l_i_n,3.5714285714285716,Wecktellin,v_@_k_t_e_l_i_n,3.5714285714285716
6,2,s 3021,c 2103,3,2,personnage,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10,,,10
3,3,s 0321,c 0312,0,0,vehicule,Mielbete,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
3,3,s 0321,c 0312,0,0,maison,Sonistik,Keimase,False,,,k_aI_m_a_s_@,10,,,10
3,3,s 0321,c 0312,1,2,maison,Keimase,Ligete,False,,,l_i_g_e_t_@,10,,,10
3,3,s 0321,c 0312,0,0,personnage,Lasgelich,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
3,3,s 0321,c 0312,3,3,maison,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
3,3,s 0321,c 0312,1,2,vehicule,Zulergen,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
3,3,s 0321,c 0312,2,1,maison,Soltete,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
3,3,s 0321,c 0312,1,2,personnage,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
3,3,s 0321,c 0312,3,3,vehicule,Wecktellin,Melare,False,,,m_e_l_a_r_@,10,,,10
3,3,s 0321,c 0312,2,1,personnage,Tereinat,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
3,3,s 0321,c 0312,2,1,vehicule,Mattendich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
3,3,s 0321,c 0312,3,3,personnage,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
5,3,s 2310,c 3102,0,2,vehicule,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
5,3,s 2310,c 3102,0,2,maison,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
5,3,s 2310,c 3102,1,0,maison,Ligete,Ligete,True,ligote,l_i_g_o_t_@,l_i_g_e_t_@,1.142857142857143,Ligete,l_i_g_e_t_@,1.142857142857143
5,3,s 2310,c 3102,0,2,personnage,Mielbete,Mielbete,True,mielbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0,Mielbete,m_i_l_b_e_t_@,0.0
5,3,s 2310,c 3102,3,1,maison,Zulergen,Zulergen,True,,,ts_u_l_@_r_g_@,10,,,10
5,3,s 2310,c 3102,1,0,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
5,3,s 2310,c 3102,2,3,maison,Madikten,Madikten,True,madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0,Madikten,m_a_d_i_k_t_@,0.0
5,3,s 2310,c 3102,1,0,personnage,Tereinat,Tereinat,True,tereinat,t_e_r_aI_n_a_t,t_e_r_aI_n_a_t,0.0,Tereinat,t_e_r_aI_n_a_t,0.0
5,3,s 2310,c 3102,3,1,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
5,3,s 2310,c 3102,2,3,personnage,Soltete,Soltete,True,soltete,z_o_l_t_e_t_@,z_o_l_t_e_t_@,0.0,Soltete,z_o_l_t_e_t_@,0.0
5,3,s 2310,c 3102,2,3,vehicule,Wecktellin,Wecktellin,True,vektelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0,Wecktellin,v_@_k_t_e_l_i_n,0.0
5,3,s 2310,c 3102,3,1,personnage,Mattendich,Lasgelich,False,lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0,Lasgelich,l_a_s_g_e_l_i_C,0.0
2,3,s 3012,c 2130,0,1,vehicule,Sonistik,Sonistik,True,Sunistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143,Sonistik,z_o_n_i_s_t_i_k,0.7142857142857143
2,3,s 3012,c 2130,0,1,maison,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
2,3,s 3012,c 2130,1,3,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
2,3,s 3012,c 2130,0,1,personnage,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0,Mielbete,m_i_l_b_e_t_@,0.0
2,3,s 3012,c 2130,3,2,maison,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
2,3,s 3012,c 2130,1,3,vehicule,Mattendich,Mattendich,True,Machonde,m_a_x_o_n_d_@,m_a_t_@_n_d_i_C,4.0,Mattendich,m_a_t_@_n_d_i_C,4.0
2,3,s 3012,c 2130,2,0,maison,Madikten,Madikten,True,Madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0,Madikten,m_a_d_i_k_t_@,0.0
2,3,s 3012,c 2130,1,3,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
2,3,s 3012,c 2130,3,2,vehicule,-1,Melare,False,,,m_e_l_a_r_@,10,,,10
2,3,s 3012,c 2130,2,0,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
2,3,s 3012,c 2130,2,0,vehicule,Wecktellin,Wecktellin,True,Vektelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0,Wecktellin,v_@_k_t_e_l_i_n,0.0
2,3,s 3012,c 2130,3,2,personnage,Lasgelich,Lasgelich,True,Lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0,Lasgelich,l_a_s_g_e_l_i_C,0.0
4,3,s 0231,c 0132,0,0,vehicule,Sonistik,Sonistik,True,melare,m_e_l_a_r_@,z_o_n_i_s_t_i_k,8.285714285714286,Melare,m_e_l_a_r_@,0.0
4,3,s 0231,c 0132,0,0,maison,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
4,3,s 0231,c 0132,1,2,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
4,3,s 0231,c 0132,0,0,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
4,3,s 0231,c 0132,3,3,maison,Mattendich,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
4,3,s 0231,c 0132,1,2,vehicule,Mattendich,Mattendich,True,soltete,z_o_l_t_e_t_@,m_a_t_@_n_d_i_C,7.0,Soltete,z_o_l_t_e_t_@,0.0
4,3,s 0231,c 0132,2,1,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
4,3,s 0231,c 0132,1,2,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
4,3,s 0231,c 0132,3,3,vehicule,-1,Melare,False,,,m_e_l_a_r_@,10,,,10
4,3,s 0231,c 0132,2,1,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
4,3,s 0231,c 0132,2,1,vehicule,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10,,,10
4,3,s 0231,c 0132,3,3,personnage,Lasgelich,Lasgelich,True,terrain,t_e_r_aI_n,l_a_s_g_e_l_i_C,7.714285714285715,Tereinat,t_e_r_aI_n_a_t,2.0
7,2,s 1320,c 1023,0,3,vehicule,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
7,2,s 1320,c 1023,0,3,maison,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
7,2,s 1320,c 1023,1,1,maison,Sonistik,Ligete,False,,,l_i_g_e_t_@,10,,,10
7,2,s 1320,c 1023,0,3,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
7,2,s 1320,c 1023,3,0,maison,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
7,2,s 1320,c 1023,1,1,vehicule,Soltete,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
7,2,s 1320,c 1023,2,2,maison,Wecktellin,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
7,2,s 1320,c 1023,1,1,personnage,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
7,2,s 1320,c 1023,3,0,vehicule,Soltete,Melare,False,,,m_e_l_a_r_@,10,,,10
7,2,s 1320,c 1023,2,2,personnage,Zulergen,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
7,2,s 1320,c 1023,2,2,vehicule,Lasgelich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
7,2,s 1320,c 1023,3,0,personnage,Mattendich,Lasgelich,False,Malvese,m_a_l_v_e_z_e,l_a_s_g_e_l_i_C,5.857142857142858,Mielbete,m_i_l_b_e_t_@,3.0
9,2,s 3210,c 2031,0,1,vehicule,Wecktellin,Sonistik,False,M,m,z_o_n_i_s_t_i_k,7.714285714285714,Keimase,k_aI_m_a_s_@,5.0
9,2,s 3210,c 2031,0,1,maison,Keimase,Keimase,True,Kassaram,k_a_s_a_r_a_m,k_aI_m_a_s_@,5.0,Keimase,k_aI_m_a_s_@,5.0
9,2,s 3210,c 2031,1,3,maison,Lasgelich,Ligete,False,,,l_i_g_e_t_@,10,,,10
9,2,s 3210,c 2031,0,1,personnage,Mielbete,Mielbete,True,Soltete,z_o_l_t_e_t_@,m_i_l_b_e_t_@,3.7142857142857144,Soltete,z_o_l_t_e_t_@,0.0
9,2,s 3210,c 2031,3,2,maison,Ligete,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
9,2,s 3210,c 2031,1,3,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
9,2,s 3210,c 2031,2,0,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
9,2,s 3210,c 2031,1,3,personnage,Tereinat,Tereinat,True,Tereinte,t_e_r_aI_n_t_e,t_e_r_aI_n_a_t,2.0,Tereinat,t_e_r_aI_n_a_t,2.0
9,2,s 3210,c 2031,3,2,vehicule,Zulergen,Melare,False,,,m_e_l_a_r_@,10,,,10
9,2,s 3210,c 2031,2,0,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
9,2,s 3210,c 2031,2,0,vehicule,Melare,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
9,2,s 3210,c 2031,3,2,personnage,Mattendich,Lasgelich,False,Lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0,Lasgelich,l_a_s_g_e_l_i_C,0.0
