id,jour,ordre conditions,ordre histoires,condition,histoire,nbSyll,mean f,var f,nbHesit,propHesit
1,1,c 3012,s 1302,3,1,813,3.0660827141712557,2.9660872741052584,33,0.04059040590405904
1,2,c 3012,s 1302,3,1,615,3.361184739354337,2.7887697512380254,22,0.03577235772357724
1,2,c 3012,s 1302,2,2,575,3.2898312516852455,2.781300658652456,23,0.04
1,1,c 3012,s 1302,2,2,555,3.3316786666332328,2.6689999684786097,34,0.06126126126126126
1,1,c 3012,s 1302,1,0,734,3.214660398173777,2.913618483855644,40,0.05449591280653951
1,1,c 3012,s 1302,0,3,815,2.8914598361016175,2.5538113141901895,33,0.04049079754601227
1,2,c 3012,s 1302,0,3,465,2.977925927065741,2.471264777779007,27,0.05806451612903226
1,2,c 3012,s 1302,1,0,449,3.1299250830480085,2.18247216064245,19,0.042316258351893093
2,2,c 2130,s 3012,2,3,152,2.733552499917148,3.0236393514503495,2,0.013157894736842105
2,1,c 2130,s 3012,1,0,141,2.811000010631394,2.7398700151868924,3,0.02127659574468085
2,2,c 2130,s 3012,0,2,157,2.8371326401967947,2.5482288928401204,5,0.03184713375796178
2,1,c 2130,s 3012,2,3,120,2.4949808434600906,3.5087126651559855,2,0.016666666666666666
2,2,c 2130,s 3012,1,0,138,2.7853815092410183,2.556147912503011,3,0.021739130434782608
2,1,c 2130,s 3012,3,1,142,2.502830352746649,3.574269070362795,4,0.028169014084507043
2,1,c 2130,s 3012,0,2,147,2.8888748526684296,3.537474533678439,3,0.02040816326530612
2,2,c 2130,s 3012,3,1,163,2.738355124947025,3.013477633366444,4,0.024539877300613498
3,2,c 0312,s 0321,0,0,308,2.7637151988572675,2.674131714355591,35,0.11363636363636363
3,2,c 0312,s 0321,2,1,232,2.364883920839148,2.2329045810079364,24,0.10344827586206896
3,2,c 0312,s 0321,3,3,247,2.4653655682521936,2.087134251617133,26,0.10526315789473684
3,1,c 0312,s 0321,1,2,234,2.2946208247718567,2.5479833831999907,27,0.11538461538461539
3,1,c 0312,s 0321,2,1,202,2.4163054683405196,2.9161954948767796,21,0.10396039603960396
3,2,c 0312,s 0321,1,2,275,2.8795382218283305,2.5133709413438456,32,0.11636363636363636
3,1,c 0312,s 0321,3,3,261,2.5801484968311974,2.884683747766899,17,0.06513409961685823
3,1,c 0312,s 0321,0,0,355,2.586047441284354,2.846662833991428,36,0.10140845070422536
4,2,c 0132,s 0231,3,3,500,2.6866593864437074,2.617322841900135,56,0.112
4,2,c 0132,s 0231,1,2,517,2.9411723228605657,3.0591633847348434,48,0.09284332688588008
4,1,c 0132,s 0231,1,2,333,3.003583504378791,3.2543518143502363,29,0.08708708708708708
4,1,c 0132,s 0231,0,0,396,3.135415765245646,3.203434477982358,29,0.07323232323232323
4,1,c 0132,s 0231,3,3,365,2.6795516599638307,2.825754975330099,28,0.07671232876712329
4,1,c 0132,s 0231,2,1,438,2.9170902676642982,2.652877097910151,36,0.0821917808219178
4,2,c 0132,s 0231,0,0,358,2.6781148365990335,2.502168144926093,32,0.0893854748603352
4,2,c 0132,s 0231,2,1,443,2.9887466191227348,3.0768684352779467,43,0.09706546275395034
5,2,c 3102,s 2310,1,3,431,3.728293097946022,4.4966743827924365,18,0.04176334106728538
5,1,c 3102,s 2310,1,3,628,3.4437654059666394,4.561879501080164,38,0.06050955414012739
5,2,c 3102,s 2310,2,0,355,3.467147633302931,5.1628000678825385,19,0.05352112676056338
5,1,c 3102,s 2310,0,1,449,3.6904197124509053,4.513744108417608,19,0.042316258351893093
5,1,c 3102,s 2310,3,2,569,3.2164623866272337,5.390555511261441,29,0.050966608084358524
5,2,c 3102,s 2310,3,2,397,3.479983818120892,4.039251945305386,22,0.055415617128463476
5,2,c 3102,s 2310,0,1,435,3.7866325706658364,4.663676236281325,23,0.052873563218390804
5,1,c 3102,s 2310,2,0,332,2.8125531342914525,4.618538944202435,22,0.06626506024096386
6,1,c 2103,s 3021,0,2,489,4.661415089608407,1.9818016907751126,15,0.03067484662576687
6,2,c 2103,s 3021,2,3,342,4.1080755300044824,1.8904599973149203,13,0.038011695906432746
6,2,c 2103,s 3021,0,2,351,4.149447192448872,1.5245868179887336,15,0.042735042735042736
6,2,c 2103,s 3021,3,1,343,4.282845693627497,1.9014829917283704,13,0.037900874635568516
6,1,c 2103,s 3021,2,3,316,3.3738279785114997,2.847874291594913,13,0.04113924050632911
6,2,c 2103,s 3021,1,0,328,4.242784206141217,1.2475020612012842,13,0.039634146341463415
6,1,c 2103,s 3021,3,1,386,4.089102663570329,2.5466724196873294,9,0.023316062176165803
6,1,c 2103,s 3021,1,0,343,4.169271954841267,2.011752630329384,12,0.03498542274052478
7,1,c 1023,s 1320,0,3,543,4.069667832884277,1.7296912666479776,18,0.03314917127071823
7,2,c 1023,s 1320,1,1,544,4.282765030866676,1.9968065225834624,33,0.06066176470588235
7,2,c 1023,s 1320,3,0,674,3.7180795311113926,2.3673378114781674,41,0.06083086053412463
7,1,c 1023,s 1320,3,0,791,4.411961385275539,1.0044215494209001,19,0.02402022756005057
7,2,c 1023,s 1320,2,2,632,4.164697475462825,2.0584136569378044,29,0.04588607594936709
7,1,c 1023,s 1320,2,2,643,4.421148861839281,1.2748956850457334,20,0.03110419906687403
7,1,c 1023,s 1320,1,1,640,3.903260083310108,2.8523172936403487,23,0.0359375
7,2,c 1023,s 1320,0,3,467,4.165886472471832,2.3402050545998208,27,0.057815845824411134
8,2,c 0231,s 0132,0,0,443,2.906885867572593,2.2655406375929212,22,0.04966139954853273
8,2,c 0231,s 0132,2,1,511,2.8020255961029084,2.5602576255145766,29,0.05675146771037182
8,1,c 0231,s 0132,0,0,322,2.5388738711092262,2.265805025894278,27,0.08385093167701864
8,1,c 0231,s 0132,1,2,515,2.8542785669450894,1.9265481019946427,44,0.0854368932038835
8,1,c 0231,s 0132,2,1,377,2.6270363151887612,2.71106801327038,35,0.09283819628647215
8,2,c 0231,s 0132,1,2,418,2.6004870682098673,2.4307610080894446,42,0.10047846889952153
8,1,c 0231,s 0132,3,3,433,2.7247927121606836,2.4595430272165935,48,0.11085450346420324
8,2,c 0231,s 0132,3,3,497,2.505752363340401,2.5034885236584095,44,0.08853118712273642
9,1,c 2031,s 3210,2,3,225,2.6654069080798672,1.7825042772613344,3,0.013333333333333334
9,1,c 2031,s 3210,0,2,239,3.519638934367613,1.8643905541251224,0,0.0
9,2,c 2031,s 3210,3,1,337,3.7152304102476634,2.6410570631206394,1,0.002967359050445104
9,2,c 2031,s 3210,1,0,353,3.8881151756907357,2.281872691650282,0,0.0
9,2,c 2031,s 3210,0,2,346,3.7662778895450333,2.154491246476905,1,0.002890173410404624
9,1,c 2031,s 3210,1,0,288,3.83753293547661,1.8627068317422748,0,0.0
9,2,c 2031,s 3210,2,3,402,3.223148142368752,3.2851501218841106,5,0.012437810945273632
9,1,c 2031,s 3210,3,1,254,3.281790490502289,2.105013743273685,1,0.003937007874015748
10,2,c 1230,s 1203,0,3,550,4.30274881595154,3.129835803930027,7,0.012727272727272728
10,1,c 1230,s 1203,3,0,447,3.9646743956596073,2.5037776148898874,18,0.040268456375838924
10,1,c 1230,s 1203,0,3,449,4.331274295721202,2.6475851762052347,6,0.013363028953229399
10,1,c 1230,s 1203,2,2,374,3.9099719818793712,2.7362088742937654,10,0.026737967914438502
10,2,c 1230,s 1203,2,2,596,4.095200429341819,4.051396290661175,15,0.025167785234899327
10,2,c 1230,s 1203,3,0,495,3.5141024917781474,3.533039448885796,12,0.024242424242424242
10,1,c 1230,s 1203,1,1,464,3.735292746966744,2.7558268910058983,10,0.021551724137931036
10,2,c 1230,s 1203,1,1,403,4.1697493000823425,2.9792169912544297,12,0.02977667493796526
11,1,c 2301,s 3120,0,2,438,2.7832827500097164,2.2589193074680214,27,0.06164383561643835
11,2,c 2301,s 3120,2,3,520,2.8844336159262287,2.380909765253902,31,0.05961538461538462
11,2,c 2301,s 3120,1,0,484,3.2261599142141995,1.9058879754048133,26,0.05371900826446281
11,2,c 2301,s 3120,3,1,481,3.0306572054958765,2.063168209843388,33,0.06860706860706861
11,1,c 2301,s 3120,2,3,364,2.77821437693668,2.3328628127061295,26,0.07142857142857142
11,2,c 2301,s 3120,0,2,382,2.583677873791825,2.084320193991558,25,0.06544502617801047
11,1,c 2301,s 3120,3,1,453,3.050968825100562,2.4517857153577953,26,0.05739514348785872
11,1,c 2301,s 3120,1,0,396,2.8797610893719163,2.184844179777292,33,0.08333333333333333
12,1,c 3012,s 2130,0,1,266,2.3195124980972164,3.965773480425139,3,0.011278195488721804
12,2,c 3012,s 2130,1,3,294,1.7696064411151036,3.192035614077065,5,0.017006802721088437
12,1,c 3012,s 2130,2,0,189,2.1333373985243207,3.676162508335314,2,0.010582010582010581
12,2,c 3012,s 2130,0,1,341,1.851213389818255,3.4057225168789502,6,0.017595307917888565
12,1,c 3012,s 2130,1,3,245,1.8549485014524818,3.377264449359142,2,0.00816326530612245
12,2,c 3012,s 2130,2,0,305,1.9510967790235665,4.117887973167983,5,0.01639344262295082
12,1,c 3012,s 2130,3,2,302,2.0132153037192237,3.4789571799784227,4,0.013245033112582781
12,2,c 3012,s 2130,3,2,266,1.8663637913773936,3.473477860650512,3,0.011278195488721804
13,2,c 1320,s 1023,1,1,378,2.379331809197079,3.097907534508448,11,0.0291005291005291
13,2,c 1320,s 1023,2,2,402,2.4713629052912682,3.21165331697292,14,0.03482587064676617
13,1,c 1320,s 1023,3,0,301,2.7657669061054744,3.4399109688865415,8,0.026578073089700997
13,1,c 1320,s 1023,2,2,301,2.716406807116935,3.265349756462673,8,0.026578073089700997
13,2,c 1320,s 1023,3,0,334,2.5578175435398696,3.0088696841726024,11,0.03293413173652695
13,1,c 1320,s 1023,1,1,318,2.6692442397383576,2.2899742496814364,13,0.040880503144654086
13,1,c 1320,s 1023,0,3,284,2.49808802680139,3.4554518530921445,8,0.028169014084507043
13,2,c 1320,s 1023,0,3,425,2.4554907460474222,3.2290178283417297,7,0.01647058823529412
14,2,c 2310,s 3102,2,3,355,2.6534274961683337,2.6017220835178314,6,0.016901408450704224
14,1,c 2310,s 3102,0,2,274,2.5239178047841966,1.7595972382534546,7,0.025547445255474453
14,2,c 2310,s 3102,0,2,405,3.0207079184637844,2.5563826148631,8,0.019753086419753086
14,2,c 2310,s 3102,3,1,337,2.4139617354647527,2.239164700827428,8,0.02373887240356083
14,1,c 2310,s 3102,1,0,234,2.1449754986962644,2.4611776336884694,8,0.03418803418803419
14,1,c 2310,s 3102,2,3,226,2.0974542558404186,1.7930519492831978,6,0.02654867256637168
14,1,c 2310,s 3102,3,1,263,2.4248551909319915,2.249491787208393,5,0.019011406844106463
14,2,c 2310,s 3102,1,0,303,2.4976960145149127,1.9450805863791436,5,0.0165016501650165
15,1,c 3201,s 2031,1,1,316,3.262067836812435,3.1800242964726815,10,0.03164556962025317
15,1,c 3201,s 2031,0,3,376,3.0845208802481663,2.560177112831051,14,0.03723404255319149
15,2,c 3201,s 2031,0,3,519,3.085162752683394,2.7201453060347487,22,0.04238921001926782
15,2,c 3201,s 2031,3,2,415,2.8705780005024284,3.0856743586134843,17,0.04096385542168675
15,2,c 3201,s 2031,2,0,531,3.254596059932602,3.14658916995092,17,0.032015065913371
15,2,c 3201,s 2031,1,1,417,3.148937685127786,3.290740197158091,5,0.011990407673860911
15,1,c 3201,s 2031,2,0,457,3.343036704102707,3.5993320291503017,12,0.0262582056892779
15,1,c 3201,s 2031,3,2,337,3.091566345515257,3.160011234498306,14,0.04154302670623145
16,1,c 0123,s 0312,3,2,437,2.8264909300868104,2.6056178448932403,42,0.09610983981693363
16,2,c 0123,s 0312,0,0,585,3.035489788234419,1.4750399448791123,47,0.08034188034188035
16,1,c 0123,s 0312,1,3,683,3.266831852377292,1.8259721536120095,52,0.07613469985358712
16,1,c 0123,s 0312,2,1,550,2.8261057654230197,2.1902164940803877,50,0.09090909090909091
16,2,c 0123,s 0312,2,1,627,3.0084084726327376,2.0537192905260424,48,0.07655502392344497
16,1,c 0123,s 0312,0,0,566,3.3634644372055313,1.751695567225888,38,0.06713780918727916
16,2,c 0123,s 0312,1,3,810,3.2665587647067746,1.8329362442330897,52,0.06419753086419754
16,2,c 0123,s 0312,3,2,606,3.0119300292625026,1.7398379092492622,55,0.09075907590759076
18,1,c 0321,s 1203,1,3,668,4.762677653543046,2.4442789601550925,10,0.014970059880239521
18,2,c 0321,s 1203,3,2,675,5.11942614939576,2.396032582303971,9,0.013333333333333334
18,1,c 0321,s 1203,0,1,501,4.453275240345377,2.275603773199387,7,0.013972055888223553
18,1,c 0321,s 1203,3,2,599,4.6180872134729585,2.809045199027416,11,0.018363939899833055
18,1,c 0321,s 1203,2,0,674,4.311045114389158,2.6933902758019777,9,0.013353115727002967
18,2,c 0321,s 1203,2,0,679,4.9052131528936425,1.7845568605197561,7,0.010309278350515464
18,2,c 0321,s 1203,0,1,626,4.988285209821899,1.8333881856781094,9,0.01437699680511182
18,2,c 0321,s 1203,1,3,714,4.9100545646384,2.223284095723711,8,0.011204481792717087
19,1,c 3210,s 0231,3,0,304,3.874830271469059,3.5451761842108964,4,0.013157894736842105
19,2,c 3210,s 0231,2,2,357,4.248150520013388,2.7258165007535045,0,0.0
19,1,c 3210,s 0231,2,2,315,3.916327675689148,2.3440777198998877,2,0.006349206349206349
19,2,c 3210,s 0231,0,1,341,3.903569916223459,2.2575666258354135,5,0.01466275659824047
19,1,c 3210,s 0231,1,3,259,3.5409876592135525,2.4642646367923327,3,0.011583011583011582
19,2,c 3210,s 0231,1,3,444,4.419229191931248,2.0377551864261916,1,0.0022522522522522522
19,2,c 3210,s 0231,3,0,371,4.149019803777249,3.03782895286247,1,0.0026954177897574125
19,1,c 3210,s 0231,0,1,275,3.774749248816121,2.4699674983288795,3,0.01090909090909091
20,1,c 1023,s 2103,0,1,525,3.6071307372705967,2.8527106893968894,22,0.0419047619047619
20,1,c 1023,s 2103,1,2,367,3.0826722102659723,2.9905079662037823,17,0.04632152588555858
20,2,c 1023,s 2103,1,2,405,3.7532606168415996,3.0708566259336,8,0.019753086419753086
20,1,c 1023,s 2103,3,3,545,3.4015202902795636,2.5475494430876218,16,0.029357798165137616
20,1,c 1023,s 2103,2,0,438,3.4490622932658237,2.37739718534399,14,0.0319634703196347
20,2,c 1023,s 2103,3,3,540,3.7977868251367184,2.9445063095381188,11,0.020370370370370372
20,2,c 1023,s 2103,2,0,387,3.6967974852517336,3.2223136155659495,10,0.025839793281653745
20,2,c 1023,s 2103,0,1,436,3.700308360018654,3.365315089422404,13,0.02981651376146789
21,1,c 1023,s 2013,1,2,245,2.8952486688862233,2.8977737731530584,7,0.02857142857142857
21,2,c 1023,s 2013,1,2,375,3.6366175155539864,2.8387324139386183,18,0.048
21,2,c 1023,s 2013,3,3,364,3.664208483738902,2.026270867098495,13,0.03571428571428571
21,1,c 1023,s 2013,0,0,376,3.4767149726628386,2.9210907413778626,11,0.02925531914893617
21,2,c 1023,s 2013,0,0,387,3.3939103036852027,3.0457564404338506,17,0.04392764857881137
21,1,c 1023,s 2013,2,1,380,3.0959209029020855,3.397881960772777,17,0.04473684210526316
21,2,c 1023,s 2013,2,1,438,3.771149252040699,3.223979874955332,21,0.04794520547945205
21,1,c 1023,s 2013,3,3,450,3.6440285713782887,2.2051594662011693,17,0.03777777777777778
22,2,c 3210,s 3012,3,3,314,3.6276450983129873,2.6281405834578684,30,0.09554140127388536
22,1,c 3210,s 3012,3,3,386,3.4451608328023733,2.6108220649477114,40,0.10362694300518134
22,2,c 3210,s 3012,0,2,396,4.184373021858605,2.3004486131447526,24,0.06060606060606061
22,2,c 3210,s 3012,2,0,368,3.8502388454506153,1.8881789222142742,30,0.08152173913043478
22,2,c 3210,s 3012,1,1,398,4.034297984414767,2.4424183767293526,31,0.07788944723618091
22,1,c 3210,s 3012,0,2,416,4.013759086815428,2.3518671200820758,31,0.07451923076923077
22,1,c 3210,s 3012,1,1,429,3.730949412385859,2.434338631520584,37,0.08624708624708624
22,1,c 3210,s 3012,2,0,386,3.3450858711333002,1.9633780786036585,43,0.11139896373056994
23,1,c 1203,s 2130,0,3,298,2.7070722299458456,2.5871539068947307,12,0.040268456375838924
23,2,c 1203,s 2130,2,1,373,3.1494916782987437,3.055508770814709,14,0.03753351206434316
23,1,c 1203,s 2130,2,1,263,2.6324282134041486,2.089605106483108,14,0.053231939163498096
23,1,c 1203,s 2130,1,2,297,2.748723014491483,2.8416965092733357,14,0.04713804713804714
23,1,c 1203,s 2130,3,0,302,2.3739212572191626,1.8727642460171061,22,0.0728476821192053
23,2,c 1203,s 2130,0,3,361,2.731565403036807,2.2359023952906556,16,0.0443213296398892
23,2,c 1203,s 2130,1,2,342,2.5752393860067446,2.534960771604142,19,0.05555555555555555
23,2,c 1203,s 2130,3,0,346,2.7584361124113976,2.4855387953313017,14,0.04046242774566474
24,1,c 1302,s 1203,2,3,422,2.7203262451341743,3.1232477130079754,36,0.08530805687203792
24,2,c 1302,s 1203,0,0,432,2.9609873797140143,3.2742243253491963,30,0.06944444444444445
24,1,c 1302,s 1203,1,1,393,2.448399880146361,3.0835477240107187,28,0.07124681933842239
24,1,c 1302,s 1203,0,0,438,2.4430082458094478,3.073706503049457,37,0.08447488584474885
24,2,c 1302,s 1203,1,1,434,2.8285053513532987,2.9545646762217643,25,0.0576036866359447
24,2,c 1302,s 1203,2,3,497,2.7558326564900013,3.185242456146364,27,0.05432595573440644
24,2,c 1302,s 1203,3,2,475,2.862786518983952,4.2027331394593475,20,0.042105263157894736
24,1,c 1302,s 1203,3,2,442,2.637666119494949,3.574819513926565,34,0.07692307692307693
25,1,c 3120,s 0321,0,1,568,3.282316649881837,3.318466028093563,19,0.03345070422535211
25,1,c 3120,s 0321,2,2,622,3.682310143121643,3.5796832837230017,21,0.03376205787781351
25,1,c 3120,s 0321,3,0,480,4.07711995752197,3.478831434769075,12,0.025
25,1,c 3120,s 0321,1,3,498,3.637581471920876,3.82313384934695,16,0.0321285140562249
